marquee                                  | Stops:  2 | Gap: 100% (0, 100)
gbaBiteSnapBottom                        | Stops:  4 | Gap: 40% (60, 100)
gbaIceCrystalGrow                        | Stops:  4 | Gap: 40% (0, 40)
gbaStingerStrike                         | Stops:  4 | Gap: 40% (0, 40)
gbaThunderStrikeFlash                    | Stops:  4 | Gap: 50% (50, 100)
gbaThunderStrikeStar                     | Stops:  4 | Gap: 50% (50, 100)
gbaThunderSpark                          | Stops:  3 | Gap: 70% (30, 100)
gbaRockTumble                            | Stops:  4 | Gap: 40% (60, 100)
gbaWingSwoopSlash                        | Stops:  4 | Gap: 40% (60, 100)
gbaSonicBoomRipple                       | Stops:  4 | Gap: 40% (60, 100)
gbaHornChargeThrust                      | Stops:  4 | Gap: 45% (55, 100)
gbaKickRoundhouse                        | Stops:  4 | Gap: 40% (60, 100)
gbaDrainLifeSiphon                       | Stops:  4 | Gap: 40% (0, 40)
gbaDragonRageAura                        | Stops:  4 | HOLD: [(20, 75, 55, 'opacity: 1; backdrop-filter: blur(2.5px);')]
gbaFlameStreamWisp3                      | Stops:  4 | Gap: 45% (55, 100)
gbaFlameStreamWisp4                      | Stops:  4 | Gap: 45% (55, 100)
gbaFlameStreamWisp5                      | Stops:  4 | Gap: 40% (60, 100)
gbaFlareBurstRay                         | Stops:  4 | Gap: 45% (55, 100)
gbaFlameTailTrail                        | Stops:  4 | Gap: 45% (55, 100)
gbaFlameTailSpark                        | Stops:  4 | Gap: 40% (60, 100)
gbaFireBlastStarTrail                    | Stops:  4 | Gap: 40% (60, 100)
gbaFireBlastStarEmber                    | Stops:  4 | Gap: 40% (60, 100)
gbaFireSpinScorchedCard                  | Stops:  4 | HOLD: [(18, 75, 57, 'opacity: 1; backdrop-filter: blur(2.5px);')]
gbaFirePunchFlame                        | Stops:  4 | Gap: 40% (60, 100)
gbaFirePunchImpact                       | Stops:  4 | Gap: 40% (60, 100)
gbaFlamePillarEmber                      | Stops:  4 | Gap: 45% (55, 100)
gbaFlamePillarGlow                       | Stops:  4 | Gap: 40% (60, 100)
gbaWildfireRing                          | Stops:  4 | Gap: 40% (60, 100)
gbaWildfireSpark                         | Stops:  4 | Gap: 45% (55, 100)
gbaFireballTrail                         | Stops:  4 | Gap: 40% (60, 100)
gbaPlayFirePop                           | Stops:  4 | Gap: 40% (60, 100)
particleBurst                            | Stops:  4 | Gap: 60% (10, 70)
damageFloatUp                            | Stops:  5 | Gap: 40% (60, 100)
fxShockwaveRing                          | Stops:  4 | Gap: 50% (50, 100)
gbaJawOutline                            | Stops:  4 | Gap: 40% (60, 100)
gbaThunderPunchSpark                     | Stops:  4 | Gap: 40% (60, 100)
gbaThunderPunchAura                      | Stops:  4 | Gap: 40% (60, 100)
gbaThunderPunchGlow                      | Stops:  4 | Gap: 45% (0, 45)
gbaBlizzardMistWrap                      | Stops:  4 | Gap: 40% (60, 100)
gbaBlizzardSnowDrift1                    | Stops:  4 | Gap: 50% (50, 100)
gbaBlizzardSnowDrift2                    | Stops:  4 | Gap: 40% (60, 100)
gbaIceCrystalGrow                        | Stops:  4 | Gap: 40% (0, 40)
gbaBlizzardWindStreak                    | Stops:  4 | Gap: 40% (60, 100)
gbaVineLeafDebris                        | Stops:  4 | Gap: 40% (60, 100)
gbaSmokescreenDrift2                     | Stops:  4 | Gap: 40% (60, 100)
gbaSmokescreenFade                       | Stops:  4 | Gap: 40% (60, 100)
gbaCrabHammerSlam                        | Stops:  5 | Gap: 40% (60, 100)
gbaCrabHammerImpact                      | Stops:  4 | Gap: 40% (60, 100)
gbaStareHypnosis                         | Stops:  4 | Gap: 40% (60, 100)
gbaClawFingerClose                       | Stops:  7 | HOLD: [(0, 30, 30, 'transform: rotate(-35deg);'), (80, 100, 20, 'transform: rotate(0deg);')]
gbaClawImpactBurst                       | Stops:  4 | Gap: 40% (60, 100)
gbaClawSqueezeLines                      | Stops:  4 | Gap: 40% (0, 40)
gbaSupersonicWobble                      | Stops:  4 | Gap: 40% (60, 100)
gbaSupersonicConfuse                     | Stops:  4 | Gap: 50% (50, 100)
gbaSupersonicConfuse2                    | Stops:  4 | Gap: 50% (50, 100)
gbaSupersonicNoteFloat                   | Stops:  4 | Gap: 40% (30, 70)
gbaNastyGooDrip                          | Stops:  4 | Gap: 40% (20, 60)
gbaNastyGooSpark                         | Stops:  4 | Gap: 40% (0, 40)
gbaPunchSpeedLines                       | Stops:  4 | Gap: 50% (50, 100)
gbaPunchImpactStar                       | Stops:  4 | Gap: 40% (60, 100)
gbaTackleRing                            | Stops:  4 | Gap: 40% (60, 100)
gbaTackleTrail                           | Stops:  4 | Gap: 40% (60, 100)
gbaChargeTrail                           | Stops:  4 | Gap: 45% (55, 100)
gbaChargeImpact                          | Stops:  4 | Gap: 40% (60, 100)
gbaFireTakeDownTrail                     | Stops:  4 | Gap: 50% (50, 100)
gbaFireTakeDownEmber                     | Stops:  4 | Gap: 40% (60, 100)
gbaFireTakeDownImpact                    | Stops:  4 | Gap: 40% (60, 100)
gbaStarfishSlapRing2                     | Stops:  4 | Gap: 45% (0, 45)
gbaStarfishSlapImpactFlash               | Stops:  4 | Gap: 40% (60, 100)
gbaQuickCrossSlash1                      | Stops:  4 | Gap: 40% (60, 100)
gbaQuickSpeedlines                       | Stops:  4 | Gap: 40% (60, 100)
gbaQuickCardSnap                         | Stops:  6 | HOLD: [(50, 100, 50, 'transform: translate(0, 0);')]
gbaMudSlapSpray                          | Stops:  4 | Gap: 40% (60, 100)
gbaMagikarpSplashRing1                   | Stops:  4 | HOLD: [(52, 100, 48, 'transform: scale(1.6); opacity: 0;')]
gbaMagikarpSplashRing2                   | Stops:  4 | HOLD: [(80, 100, 20, 'transform: scale(1.75); opacity: 0;')]
gbaMagikarpWaterDrop                     | Stops:  3 | Gap: 65% (35, 100)
gbaMeditateCorePulse                     | Stops:  4 | Gap: 40% (60, 100)
gbaMeditateRingExpand                    | Stops:  4 | Gap: 40% (60, 100)
gbaMeditateSparkle                       | Stops:  4 | Gap: 40% (30, 70)
gbaCloysterClampUpper                    | Stops:  4 | Gap: 40% (60, 100)
gbaCloysterClampLower                    | Stops:  4 | Gap: 40% (60, 100)
gbaCloysterClampBurst                    | Stops:  4 | Gap: 45% (55, 100)
gbaCloysterSpikeBurst                    | Stops:  4 | Gap: 40% (60, 100)
gbaCloysterSpikeShards                   | Stops:  4 | Gap: 40% (60, 100)
gbaWaterfallFoam                         | Stops:  4 | Gap: 40% (60, 100)
gbaWaterfallSpray                        | Stops:  4 | Gap: 40% (60, 100)
gbaWaterfallSplashPool                   | Stops:  4 | Gap: 40% (60, 100)
gbaHardenSparkle                         | Stops:  4 | Gap: 40% (0, 40)
gbaRecoverSparkle1                       | Stops:  4 | Gap: 40% (30, 70)
gbaRecoverAura                           | Stops:  4 | Gap: 40% (60, 100)
gbaVenomDripFall                         | Stops:  4 | Gap: 40% (60, 100)
gbaVenomSplash                           | Stops:  4 | Gap: 40% (60, 100)
gbaWaterVortexSpin                       | Stops:  4 | Gap: 40% (60, 100)
gbaWindStreak                            | Stops:  4 | Gap: 50% (50, 100)
gbaSandArc1                              | Stops:  4 | Gap: 50% (50, 100)
gbaSandArc2                              | Stops:  4 | Gap: 50% (50, 100)
gbaSandArc3                              | Stops:  4 | Gap: 45% (55, 100)
gbaSandScatter                           | Stops:  4 | Gap: 40% (60, 100)
gbaSandOriginPuff                        | Stops:  4 | Gap: 40% (60, 100)
gbaDustSwirl                             | Stops:  4 | Gap: 40% (60, 100)
gbaDustGrain                             | Stops:  4 | Gap: 40% (60, 100)
gbaPoisonHazeRise                        | Stops:  4 | Gap: 40% (60, 100)
gbaPowderPuffDrift                       | Stops:  4 | Gap: 40% (60, 100)
gbaScytherSlashFlash                     | Stops:  4 | Gap: 40% (60, 100)
gbaScytherSpark                          | Stops:  4 | Gap: 40% (60, 100)
gbaHornSpeedLines                        | Stops:  4 | Gap: 50% (50, 100)
gbaHornImpactSpark                       | Stops:  4 | Gap: 40% (60, 100)
gbaPoisonDmgFloat                        | Stops:  4 | Gap: 45% (55, 100)
gbaWaterDroplet1                         | Stops:  4 | Gap: 40% (30, 70)
gbaWaterDroplet2                         | Stops:  4 | Gap: 40% (35, 75)
gbaWaterDroplet3                         | Stops:  4 | Gap: 40% (30, 70)
gbaWaterMistTrail                        | Stops:  4 | Gap: 40% (60, 100)
gbaWaterSplashImpact                     | Stops:  4 | Gap: 40% (60, 100)
gbaHydroCannonShell                      | Stops:  8 | HOLD: [(24, 62, 38, 'opacity: 1; transform: translateX(-50%) scale(1) translateY(0px); filter: blur(0px);')]
gbaHydroCannonMuzzle                     | Stops:  6 | Gap: 45% (55, 100)
gbaHydroCannonDrop3                      | Stops:  4 | Gap: 40% (60, 100)
gbaHydroImpactRing                       | Stops:  4 | Gap: 40% (20, 60)
gbaHydroImpactScatter1                   | Stops:  4 | Gap: 40% (20, 60)
gbaHydroImpactScatter2                   | Stops:  4 | Gap: 40% (20, 60)
gbaHydroImpactScatter3                   | Stops:  4 | Gap: 40% (60, 100)
gbaHydroImpactFoam                       | Stops:  4 | Gap: 40% (60, 100)
gbaBubbleRise1                           | Stops:  4 | Gap: 40% (60, 100)
gbaBubbleRise3                           | Stops:  4 | Gap: 40% (60, 100)
gbaBubblePop                             | Stops:  4 | Gap: 40% (0, 40)
gbaSludgeImpactSplat                     | Stops:  4 | Gap: 40% (60, 100)
gbaSludgeDripFall                        | Stops:  4 | Gap: 40% (20, 60)
gbaSludgeWispRise                        | Stops:  4 | Gap: 40% (30, 70)
gbaHyperBeamIceImpact                    | Stops:  4 | Gap: 40% (60, 100)
gbaHyperBeamIceMuzzle                    | Stops:  4 | Gap: 50% (50, 100)
gbaEmberImpactGlow                       | Stops:  4 | Gap: 40% (60, 100)
gbaIceCrystalForm                        | Stops:  4 | Gap: 40% (60, 100)
gbaIceMistSpread                         | Stops:  4 | Gap: 40% (60, 100)
gbaIceShardScatter1                      | Stops:  4 | Gap: 40% (60, 100)
gbaIceShardScatter3                      | Stops:  4 | Gap: 40% (60, 100)
gbaStarFreezeCardGlaciation              | Stops:  4 | HOLD: [(22, 72, 50, 'opacity: 1; backdrop-filter: blur(3.5px);')]
gbaStarFreezeFlash                       | Stops:  4 | Gap: 50% (50, 100)
gbaSolarCardGlow                         | Stops:  4 | HOLD: [(22, 70, 48, 'opacity: 0.85; backdrop-filter: blur(2px);')]
gbaSolarMotesGather                      | Stops:  4 | Gap: 55% (45, 100)
gbaSeismicDescent                        | Stops:  5 | Gap: 50% (50, 100)
gbaSeismicScreenSlam                     | Stops:  5 | Gap: 48% (52, 100)
gbaThunderCloudCharge                    | Stops:  4 | HOLD: [(15, 65, 50, 'opacity: 0.9; backdrop-filter: blur(2px);')]
gbaArcanineIgnition                      | Stops:  4 | HOLD: [(18, 68, 50, 'opacity: 0.85; backdrop-filter: blur(2.5px);')]
gbaWhirlpoolAbyss                        | Stops:  4 | HOLD: [(20, 70, 50, 'opacity: 0.9; backdrop-filter: blur(2.5px);')]
gbaDragoniteTailSmash                    | Stops:  5 | Gap: 40% (60, 100)
gbaDragoniteShockwaveSnap                | Stops:  5 | Gap: 42% (58, 100)
gbaToxicVenomVignette                    | Stops:  4 | HOLD: [(18, 72, 54, 'opacity: 0.9; backdrop-filter: blur(2.5px);')]
gbaMegaPunchAnticipation                 | Stops:  4 | Gap: 65% (35, 100)
gbaHurricaneAura                         | Stops:  4 | Gap: 55% (20, 75)
gbaAcidCorrosionMist                     | Stops:  4 | Gap: 40% (30, 70)
gbaDarkMindVignette                      | Stops:  4 | HOLD: [(25, 75, 50, 'opacity: 0.85; backdrop-filter: blur(3px);')]
gbaDarkMindMote                          | Stops:  4 | Gap: 40% (35, 75)
gbaKarateChopFocusLines                  | Stops:  4 | Gap: 55% (45, 100)
gbaHypnoTranceRing                       | Stops:  4 | Gap: 40% (30, 70)
gbaHypnoSleepMote                        | Stops:  4 | Gap: 40% (35, 75)
gbaWeezingBubbleRise                     | Stops:  4 | Gap: 40% (25, 65)
gbaMagmarSmogPlume3                      | Stops:  4 | Gap: 40% (60, 100)
gbaNidokingClawSwipe1                    | Stops:  4 | Gap: 50% (50, 100)
gbaEggsplosionBombDrop1                  | Stops:  5 | Gap: 50% (50, 100)
gbaDrillSpiralWind                       | Stops:  4 | Gap: 40% (60, 100)
gbaDrillImpactSpark                      | Stops:  4 | Gap: 40% (60, 100)
gbaExplosionRing                         | Stops:  4 | Gap: 40% (60, 100)
gbaExplosionDebris1                      | Stops:  4 | Gap: 40% (60, 100)
gbaExplosionDebris3                      | Stops:  4 | Gap: 40% (60, 100)
gbaExplosionDebris4                      | Stops:  4 | Gap: 38% (62, 100)
gbaExplosionSmoke                        | Stops:  4 | Gap: 40% (60, 100)
gbaExplosionRing2                        | Stops:  4 | Gap: 45% (55, 100)
gbaExplosionDebris6                      | Stops:  4 | Gap: 40% (60, 100)
gbaEmberFall1                            | Stops:  4 | Gap: 40% (20, 60)
gbaEmberFall2                            | Stops:  4 | Gap: 40% (25, 65)
gbaEmberFall3                            | Stops:  4 | Gap: 40% (60, 100)
gbaEmberFall4                            | Stops:  4 | Gap: 40% (25, 65)
gbaCraterAppear                          | Stops:  4 | Gap: 40% (60, 100)
gbaAvalancheDust                         | Stops:  4 | Gap: 40% (60, 100)
gbaSmogCloudDrift1                       | Stops:  4 | Gap: 45% (55, 100)
gbaSmogCloudDrift2                       | Stops:  4 | Gap: 40% (60, 100)
gbaHitmonchanWindStreaks                 | Stops:  5 | HOLD: [(80, 100, 20, 'transform: translateX(-16px) scaleX(1.1); opacity: 0;')]
gbaSeismicCrack                          | Stops:  4 | Gap: 40% (60, 100)
gbaSeismicDust                           | Stops:  4 | Gap: 40% (60, 100)
gbaSeismicWaveRing                       | Stops:  4 | Gap: 40% (60, 100)
gbaGuillotineSpeedLines                  | Stops:  4 | Gap: 40% (60, 100)
gbaGuillotineImpactSlash                 | Stops:  4 | Gap: 40% (60, 100)
gbaRockThrow2                            | Stops:  4 | Gap: 40% (60, 100)
gbaRockThrow3                            | Stops:  4 | Gap: 38% (62, 100)
gbaRockDustPuff                          | Stops:  4 | Gap: 40% (60, 100)
gbaRockImpactBurst                       | Stops:  4 | Gap: 40% (60, 100)
gbaBigRockImpactBurst                    | Stops:  4 | Gap: 45% (55, 100)
gbaSandArc                               | Stops:  4 | Gap: 45% (55, 100)
gbaPsychicWarpRing                       | Stops:  4 | Gap: 40% (60, 100)
gbaPsychicWavyLine                       | Stops:  4 | Gap: 40% (60, 100)
gbaSuperPsySparkPop                      | Stops:  3 | Gap: 65% (35, 100)
gbaConfuseRaySparkle                     | Stops:  4 | Gap: 45% (55, 100)
gbaConfuseRaySparkle2                    | Stops:  4 | Gap: 40% (20, 60)
gbaConfuseCardBlur                       | Stops:  4 | HOLD: [(15, 75, 60, 'opacity: 1; backdrop-filter: blur(3.5px);')]
gbaPsybeamImpact                         | Stops:  4 | Gap: 40% (60, 100)
gbaSonicDistortion                       | Stops:  4 | Gap: 40% (60, 100)
gbaSonicOriginPulse                      | Stops:  4 | Gap: 40% (60, 100)
gbaHyperBeamImpact                       | Stops:  4 | Gap: 40% (60, 100)
gbaHyperBeamMuzzle                       | Stops:  4 | Gap: 50% (50, 100)
gbaDrainStreamFlow                       | Stops:  4 | Gap: 45% (55, 100)
gbaDrainOrb1                             | Stops:  4 | Gap: 40% (30, 70)
gbaDrainAbsorbGlow                       | Stops:  4 | Gap: 40% (60, 100)
gbaDrainDeplete                          | Stops:  3 | Gap: 60% (40, 100)
gbaLickDroplet1                          | Stops:  4 | Gap: 40% (30, 70)
gbaSingNoteFloat1                        | Stops:  4 | Gap: 40% (60, 100)
gbaSingNoteFloat3                        | Stops:  4 | Gap: 38% (62, 100)
gbaSingSoundArc                          | Stops:  4 | Gap: 40% (60, 100)
gbaSleepDrift                            | Stops:  4 | Gap: 45% (55, 100)
faintedPulse                             | Stops:  3 | Gap: 60% (40, 100)
gbaSleepZzz1                             | Stops:  4 | Gap: 40% (30, 70)
gbaStunSporeHaze                         | Stops:  4 | Gap: 40% (60, 100)
gbaStunGasCloudForm                      | Stops:  4 | Gap: 45% (55, 100)
gbaStunNumbRing                          | Stops:  4 | Gap: 40% (60, 100)
gbaStunSpark1                            | Stops:  4 | Gap: 40% (30, 70)
gbaPlusPowerWash                         | Stops:  4 | Gap: 40% (60, 100)
gbaCobraSway                             | Stops:  7 | Gap: 38% (62, 100)
gbaCobraHoodFlare                        | Stops:  7 | Gap: 44% (56, 100)
gbaCobraHypnoRing                        | Stops:  4 | Gap: 45% (55, 100)
gbaCobraTongueFlick                      | Stops:  7 | Gap: 44% (56, 100)
gbaStareDissolveOut                      | Stops:  3 | Gap: 60% (40, 100)
gbaCurseShadowWisp                       | Stops:  4 | Gap: 40% (60, 100)
gbaEnergyRemovalPull                     | Stops:  4 | Gap: 40% (60, 100)
gbaEnergyRemovalTrail                    | Stops:  4 | Gap: 40% (60, 100)
gbaFoulBaseCloud                         | Stops:  4 | Gap: 45% (55, 100)
gbaFoulStenchWave1                       | Stops:  4 | Gap: 40% (60, 100)
gbaTailWagPuff                           | Stops:  4 | Gap: 40% (60, 100)
gbaAgilityStreak1                        | Stops:  4 | Gap: 40% (60, 100)
gbaLeerGlare                             | Stops:  4 | Gap: 45% (55, 100)
gbaDizzyOrbit1                           | Stops:  4 | Gap: 60% (20, 80)
gbaDizzyOrbit2                           | Stops:  4 | Gap: 55% (25, 80)
gbaFoulStenchWave3                       | Stops:  4 | Gap: 40% (60, 100)
gbaKickImpactStar                        | Stops:  4 | Gap: 40% (60, 100)
gbaPayDayCoin1                           | Stops:  4 | Gap: 40% (60, 100)
gbaPayDayCoin3                           | Stops:  4 | Gap: 38% (62, 100)
gbaPsyshockRing1                         | Stops:  4 | Gap: 40% (60, 100)
gbaPsyshockRing2                         | Stops:  4 | Gap: 40% (60, 100)
gbaPsyshockRing3                         | Stops:  4 | Gap: 40% (60, 100)
gbaTrainerLabelFade                      | Stops:  4 | HOLD: [(25, 75, 50, 'transform: translateY(0px); opacity: 1;')]
gbaConfusionImpact                       | Stops:  4 | Gap: 38% (62, 100)
gbaConfusionDizzyPop                     | Stops:  4 | Gap: 55% (45, 100)
gbaConfusionStarOrbit                    | Stops:  4 | Gap: 62% (18, 80)
gbaConfusionSelfCurl                     | Stops:  3 | Gap: 75% (25, 100)
gbaVaporJet                              | Stops:  5 | HOLD: [(52, 100, 48, 'transform: translate(16px, -14px) scale(1.2); opacity: 0;')]
gbaVaporRollC                            | Stops:  4 | Gap: 38% (62, 100)
gbaVaporTendril                          | Stops:  4 | Gap: 38% (62, 100)
gbaVaporSpread                           | Stops:  4 | Gap: 48% (52, 100)
gbaVaporRise                             | Stops:  4 | Gap: 40% (60, 100)
gbaVaporDroplet                          | Stops:  3 | Gap: 78% (22, 100)
gbaVaporBenchPuff                        | Stops:  4 | Gap: 42% (58, 100)
gbaVaporBenchWisp                        | Stops:  3 | Gap: 66% (34, 100)
gbaFireBlastScorchRune                   | Stops:  4 | Gap: 40% (35, 75)
gbaFireBlastKanjiShockwave               | Stops:  3 | Gap: 60% (40, 100)
gbaFireBlastEmberShower                  | Stops:  3 | Gap: 70% (30, 100)
gbaHyperBeamChargeCore                   | Stops:  5 | Gap: 55% (45, 100)
gbaHyperBeamScreenGlare                  | Stops:  5 | Gap: 37% (38, 75)
gbaHyperBeamShockRing                    | Stops:  4 | Gap: 40% (35, 75)
gbaHyperBeamVaporizeSparks               | Stops:  3 | Gap: 65% (35, 100)
gbaFearowVortexCone                      | Stops:  4 | Gap: 40% (30, 70)
gbaFearowDrillSparks                     | Stops:  3 | Gap: 60% (40, 100)
gbaVenomothPollenCloud                   | Stops:  4 | Gap: 40% (25, 65)
gbaVenomothConfusionRipples              | Stops:  4 | Gap: 40% (35, 75)
gbaVenomothTranceDistort                 | Stops:  4 | HOLD: [(20, 70, 50, 'opacity: 1; backdrop-filter: blur(3.5px);')]
gbaVenomothLepidopteraScale              | Stops:  4 | Gap: 40% (30, 70)
gbaRapidashHoofPrintScorch               | Stops:  4 | Gap: 45% (0, 45)
gbaRapidashGroundFissures                | Stops:  4 | Gap: 45% (0, 45)
gbaRapidashEmberErupt                    | Stops:  3 | Gap: 55% (45, 100)
gbaGravelerMegaboulder                   | Stops:  5 | HOLD: [(48, 100, 52, 'transform: translate(0px, 4px) scale(1.2) rotate(20deg); opacity: 0;')]
gbaGravelerRockShard                     | Stops:  3 | Gap: 55% (45, 100)
gbaGravelerDustPuff                      | Stops:  4 | Gap: 45% (0, 45)
gbaJolteonMissileSalvo1                  | Stops:  4 | Gap: 65% (35, 100)
gbaJolteonMissileSalvo2                  | Stops:  4 | Gap: 50% (50, 100)
gbaJolteonElectricArcBurst               | Stops:  4 | Gap: 40% (60, 100)
gbaDarkGyaradosSolidIceBlock             | Stops:  4 | Gap: 50% (25, 75)
gbaDarkGyaradosBlizzardVapor             | Stops:  4 | Gap: 40% (35, 75)
gbaArbokCobraHood                        | Stops:  4 | Gap: 40% (25, 65)
gbaDarkBlastoiseMuzzleBlast              | Stops:  4 | Gap: 45% (55, 100)
gbaDarkBlastoiseHydroShell               | Stops:  4 | Gap: 45% (55, 100)
gbaDarkFireball1                         | Stops:  4 | Gap: 60% (40, 100)
gbaDarkFireball2                         | Stops:  4 | Gap: 40% (60, 100)
gbaDarkFireballCraterBurst               | Stops:  4 | Gap: 40% (35, 75)
gbaFarfetchdLeafFibers                   | Stops:  4 | Gap: 45% (15, 60)
gbaCuboneBoneShards                      | Stops:  4 | Gap: 45% (20, 65)
gbaBulbasaurLifeSiphon                   | Stops:  4 | Gap: 40% (20, 60)
gbaSquirtleDeflectSplash                 | Stops:  4 | Gap: 45% (20, 65)
gbaPikachuElectricSparks                 | Stops:  4 | Gap: 45% (20, 65)
gbaCharmanderCinders                     | Stops:  4 | Gap: 45% (20, 65)
gbaSandshrewGritPellets                  | Stops:  4 | Gap: 45% (20, 65)
gbaCaterpieSilkDrops                     | Stops:  4 | Gap: 45% (25, 70)
gbaZubatSonicRings1                      | Stops:  4 | Gap: 40% (20, 60)
gbaZubatSonicRings2                      | Stops:  4 | Gap: 40% (20, 60)
gbaZubatSonicRings3                      | Stops:  4 | Gap: 40% (20, 60)
gbaZubatConfusionDistort                 | Stops:  4 | Gap: 40% (35, 75)
gbaGastlySleepGasCloud                   | Stops:  4 | Gap: 40% (25, 65)
gbaGastlyDreamMotes                      | Stops:  4 | Gap: 45% (25, 70)
gbaPidgeyFeatherDrift                    | Stops:  4 | Gap: 40% (30, 70)
gbaMeowthCoinHurl                        | Stops:  4 | Gap: 45% (0, 45)
gbaMeowthCoinRing                        | Stops:  3 | Gap: 55% (45, 100)
gbaPoliwagJetStream                      | Stops:  4 | Gap: 45% (30, 75)
gbaGeodudeDustShockwave                  | Stops:  3 | Gap: 55% (45, 100)
gbaOddishSporeFall                       | Stops:  4 | Gap: 40% (30, 70)
gbaOddishSproutRise                      | Stops:  4 | Gap: 40% (0, 40)
gbaJigglypuffSleepZzz                    | Stops:  4 | Gap: 40% (30, 70)
gbaJigglypuffPound                       | Stops:  5 | Gap: 40% (0, 40)
gbaClefairyCosmicTwinkle                 | Stops:  4 | Gap: 40% (0, 40)
gbaAbraTelekinesisRings                  | Stops:  4 | Gap: 40% (0, 40)
gbaDrowzeePalmStrike                     | Stops:  5 | Gap: 40% (0, 40)
gbaDrowzeeNightmareHaze                  | Stops:  4 | Gap: 40% (30, 70)
gbaLickitungSupersonicRings              | Stops:  4 | Gap: 40% (35, 75)
gbaKangaskhanFetch                       | Stops:  4 | Gap: 40% (0, 40)
