Total numbered moves matched: 120

Header                                                  | FX Types                            | Visual Type         
15c. STAR FREEZE (Starmie signature move - Celestial St | star_freeze                         | IMG: Starmie_Star_Freeze.png
16. SOLAR BEAM (Venusaur Lv. 67 — 60 DMG Planetary Sola | solar_beam_charge_blast             | SVG (4)
17. PSYBEAM KALEIDOSCOPE (Alakazam Lv. 42 / Kadabra — M | psybeam_kaleidoscope                | SVG (2)
18. LEECH SEED / VINE WHIP (GBA green lash/snap)        | leech_seed_vines                    | SVG (1)
18b. VINE WHIP LASH (Ivysaur - whip-crack vine arcs)    | vine_whip_lash                      | SVG (5)
18c. SMOKESCREEN CLOUD (Horsea/Magmar - parallax smoke  | smokescreen_cloud                   | SVG (0)
19. SEISMIC SLAM / EARTHQUAKE (GBA-style ground rupture | seismic_slam                        | SVG (5)
19b. SEISMIC TOSS (Machamp Lv. 67 — 60 DMG 4-Armed Tect | seismic_toss_machamp                | SVG (3)
19c. DRAGONITE SLAM (Dragonite Lv. 45 — 40x DMG Heavy D | dragonite_slam                      | SVG (3)
20b. MEGA PUNCH (Nidoqueen Lv. 43 — 50 DMG Armored Roya | mega_punch_nidoqueen                | SVG (4)
20c. PIDGEOT HURRICANE (Pidgeot Lv. 40 — Stratospheric  | pidgeot_hurricane                   | SVG (5)
20d. MACHOKE SUBMISSION (Machoke Lv. 40 — 60 DMG Brutal | submission_grapple                  | SVG (4)
20e. RATICATE SUPER FANG (Raticate Lv. 41 — Half-HP Car | super_fang_guillotine               | IMG: Raticate_SuperFang_Jaws.png
20f. VICTREEBEL ACID (Victreebel Lv. 42 — 50 DMG Carniv | victreebel_acid_melt                | IMG: Victreebel_Acid_Maw.png
20g. RAICHU GIGASHOCK (Raichu Fossil Lv. 45 — 30 DMG Ac | raichu_gigashock                    | SVG (5)
20h. BEEDRILL TWINEEDLE (Beedrill Lv. 32 — Authentic Su | beedrill_twineedle                  | IMG: Beedrill_Twineedle_Lances.png
20i. DUGTRIO EARTHQUAKE (Dugtrio Lv. 36 — 60 DMG Subter | dugtrio_earthquake                  | IMG: Dugtrio_Earthquake_Trio.png
20j. ELECTRODE CHAIN LIGHTNING (Electrode Lv. 40/42 — M | electrode_chain_lightning           | SVG (2)
20k. VAPOREON HYDRO PUMP (Vaporeon Lv. 42 — 50+ DMG Aqu | vaporeon_hydro_pump                 | SVG (1)
20l. GENGAR DARK MIND (Gengar Lv. 38 / Hypno — Spectral | gengar_dark_mind                    | SVG (3)
20m. MUK SLUDGE DELUGE (Muk Lv. 34 — Thick Viscous Purp | muk_sludge_deluge                   | SVG (2)
20n. MACHAMP KARATE CHOP (Machoke Lv. 40 / Machamp — Hi | machamp_karate_chop                 | SVG (2)
20o. HAUNTER DREAM EATER (Haunter Lv. 22 — Ethereal Slu | haunter_dream_eater                 | SVG (2)
20p. HYPNO HYPNOTIC PENDULUM (Hypno Lv. 36 — Oscillatin | hypno_hypnotic_pendulum             | SVG (1)
20p. MAGMAR VOLCANIC SMOG (Magmar Fossil #39 — Pyroclas | magmar_smog                         | SVG (0)
20q. WEEZING TOXIC SMOG (Weezing Lv. 27 — Dual-Chimney  | weezing_toxic_smog                  | SVG (0)
20r. GOLEM AVALANCHE (Golem Lv. 36 — 60 DMG Bedrock Tre | golem_avalanche                     | SVG (3)
20s. WIGGLYTUFF DO THE WAVE (Wigglytuff Lv. 36 — Stadiu | wigglytuff_do_the_wave              | SVG (2)
20t. VILEPLUME PETAL DANCE (Vileplume Lv. 35 — Razor Pe | vileplume_petal_dance               | SVG (3)
20u. POLIWRATH WHIRLPOOL (Poliwrath Lv. 48 — Deep Ocean | poliwrath_whirlpool_vortex          | SVG (1)
20v. DEWGONG AURORA BEAM (Dewgong Lv. 42 — Undulating G | dewgong_aurora_beam                 | SVG (2)
20w. KABUTOPS SHARP SICKLE & ABSORB (Kabutops Lv. 30 —  | kabutops_sickle_slash               | SVG (2)
20x. MAROWAK BONEMERANG (Marowak Lv. 26 — Dual-Pass 3D  | marowak_bonemerang                  | SVG (1)
20y. NIDOKING THRASH (Nidoking Lv. 48 — Berserk Rampage | nidoking_thrash_fury                | SVG (2)
20z. KINGLER CRABHAMMER (Kingler Lv. 27 — 40 DMG Massiv | kingler_crabhammer, crab_hammer_sla | SVG (0)
20. GUILLOTINE (GBA-style blade dropping with impact fl | guillotine_snap                     | SVG (3)
20b. CRABHAMMER (Handled above in kingler_crabhammer)   | none                                | SVG (0)
20d. HORN THRUST (Goldeen/Seaking - single horn piercin | horn_thrust                         | SVG (0)
21. PIN MISSILE / TWINEEDLE                             | pin_missile_volley                  | SVG (1)
22. DRILL PECK / DRILL RUN (GBA-style spinning drill be | drill_peck_spiral                   | SVG (3)
22a. BAT WING FLAP (Flitter - Golbat's wing strike)     | bat_wing_flap                       | SVG (4)
22b. WATER VORTEX (Whirlpool - Poliwrath Lv. 48 — 40 DM | water_vortex                        | SVG (3)
23. WHIRLWIND / CYCLONE (GBA low side-angle funnel vort | whirlwind_cyclone                   | SVG (3)
23b. SAND ATTACK THROW (Sandshrew - sand grains hurled  | sand_attack_throw                   | SVG (1)
23c. SAND ATTACK DUST (Eevee - blinding dust cloud over | sand_attack_dust                    | SVG (1)
24. PAY DAY COINS (GBA-style golden coins scattering wi | pay_day_coins                       | SVG (4)
26. PSYCHIC DISTORTION (GBA-style warping concentric ps | psychic_distortion                  | SVG (6)
26b. CONFUSE RAY (Vulpix, Alakazam, Drowzee, Lapras - G | confuse_ray_spiral                  | SVG (3)
26c. SUPER PSY BLAST (Kadabra - signature high-impact t | super_psy_blast                     | SVG (2)
26d. AMNESIA MIND WIPE (Poliwhirl - hypnotic memory-era | amnesia_mind_wipe                   | SVG (0)
27. MEDITATE ZEN (GBA-style concentric psychic rings pu | meditate_zen                        | SVG (3)
28. SLUDGE BOMB (Muk — GBA-style viscous purple sludge  | sludge_bomb                         | SVG (2)
28b. NASTY GOO (Grimer - GBA-style dripping sticky goo  | nasty_goo                           | SVG (3)
28c. STICKY HANDS (Grimer — GBA-style stretching sticky | sticky_hands_grab                   | SVG (3)
29. SMOG HAZE (GBA-style rolling toxic smoke clouds)    | smog_haze                           | SVG (1)
30. DESTINY BOND / NIGHTMARE (GBA-style dark curse with | destiny_bond_curse, nightmare_spook | SVG (4)
31. LICK TONGUE (GBA-style tongue lash swipe)           | lick_tongue                         | SVG (4)
32. LULLABY / SING (GBA-style floating musical notes wi | sing_lullaby                        | SVG (4)
33. STUN GAS (GBA-style yellow paralytic gas cloud with | stun_gas                            | SVG (3)
34. FOUL ODOR (GBA-style stench wavy lines rising)      | foul_odor                           | SVG (4)
35. STUN SPORE (GBA-style yellow spore particles fallin | stun_spore                          | SVG (2)
36a. POISON POWDER SHOWER (GBA toxic powder raining ove | poisonpowder_shower                 | SVG (1)
36b. SLEEP POWDER DRIFT (GBA-style purple soporific par | sleep_powder_drift                  | SVG (1)
37. POTION (gray-purple round-bulb bottle, card-accurat | potion                              | IMG: Potion.png
37b. SUPER POTION (yellow-red angular bottle, card-accu | super_potion                        | IMG: Super_Potion.png
38. GUST OF WIND (Trainer card - low side-angle funnel  | gust                                | SVG (4)
39. ENERGY REMOVAL (GBA-style energy orb being extracte | energy_removal                      | SVG (2)
40. PLUSPOWER / DEFENDER / BARRIER (GBA-style trainer i | pluspower, defender, barrier        | IMG: PlusPower.png
41. PHYSICAL CHARGE (Headbutt, Ram, Take Down, Quick At | physical_charge                     | SVG (2)
41a. FIRE TAKE DOWN (Arcanine Lv. 45 — 80 DMG Infernal  | fire_take_down                      | SVG (3)
41b. STARFISH SLAP (Staryu) - Authentic 1999 Sugimori S | starfish_slap                       | IMG: Staryu_Slap.png
41c. QUICK ATTACK DASH (Eevee / Vaporeon / Rattata) - H | quick_attack_dash                   | SVG (4)
41d. MUD SLAP THROW (Diglett / Geodude) - Mud clod hurl | mud_slap_throw                      | SVG (3)
41e. FISH FLAIL (Magikarp-specific: authentic 1999 Sugi | fish_flail                          | IMG: Magikarp_Flail.png
42. DEFENSIVE HARDEN (Harden, Withdraw, Minimize, Stiff | defensive_harden                    | SVG (1)
43. RECOVER HEAL (Recover, Spacing Out) - GBA rising gr | recover_heal                        | SVG (1)
44. ROCK BARRAGE (Rock Throw, Stone Barrage, Avalanche  | rock_barrage                        | SVG (5)
45. WING SLASH (Wing Attack, Dive Bomb)                 | wing_slash                          | SVG (1)
46. SWORDS DANCE BUFF (Swords Dance, Agility, Leer)     | swords_dance_buff                   | SVG (1)
46d. TAIL WAG (Eevee - playful bushy tail swaying side  | tail_wag                            | SVG (3)
46e. AGILITY DASH (Rapidash / Raichu - blinding speed s | agility_dash                        | SVG (4)
46f. GLARE / LEER (intimidating narrowing eyes with ang | glare_leer                          | SVG (3)
46g. DIZZINESS SWIRL (dizzy stars orbiting the user's h | dizziness_swirl                     | SVG (1)
46h. STOMP HOOF (Ponyta/Rapidash - flaming hoof slammin | stomp_hoof                          | SVG (4)
46c. SCYTHER BLADE DANCE (Scyther Swords Dance - scythe | scyther_blade_dance                 | SVG (3)
46b. SUPERSONIC WAVES (Zubat Supersonic - GBA-style con | supersonic_waves                    | SVG (5)
47. SONIC BOOM (GBA-style expanding sound wave crescent | sonic_boom                          | SVG (5)
48. HYPER BEAM LASER (GBA-style charged beam with core  | hyper_beam_laser                    | SVG (4)
48b. HYPER BEAM ICE (Golduck — ice-blue charged beam, G | hyper_beam_ice                      | SVG (4)
49. HORN GORE (Horn Attack - generic horn charge, GBA-s | horn_gore                           | SVG (2)
49b. NIDORAN HORN CHARGE (Nidoran♂/♀ - pink poison horn | nidoran_horn_charge                 | SVG (2)
50. KICK STRIKE (Double Kick, Low Kick, Submission - GB | kick_strike                         | SVG (3)
50b. KICK LOW (Machop - low sweeping kick)              | kick_low                            | SVG (0)
50c. KICK SMASH (Ponyta/Rapidash - flaming hoof slam)   | kick_smash                          | SVG (2)
50d. KRABBY IRON GRIP (Krabby Lv. 20 — Pincer Clamp & S | krabby_irongrip, claw_pinch         | SVG (0)
50e. PALM STRIKE (Drowzee/Hypno - open palm)            | palm_strike                         | SVG (0)
51. DRAIN LIFE (Leech Life, Mega Drain - GBA-style life | drain_life                          | SVG (3)
52. DRAGON RAGE (Gyarados — Draconic Wrath, Azure Maw & | dragon_rage                         | IMG: Gyarados_Dragon_Rage.png
53. CONFUSION SELF-HIT (confused attacker rolled TAILS  | confusion_self_hit, confusion_self_ | SVG (7)
